Sample_Path,Cluster
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_538.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_742.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_594.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_625.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_370.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_69.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_484.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_671.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_320.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_627.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_35.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_97.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_800.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_823.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_563.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_929.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_170.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_988.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_517.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_39.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_617.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_688.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_42.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_573.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_247.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_374.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_882.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_868.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_413.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_593.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_690.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_120.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_42.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_986.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_235.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_855.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_437.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_80.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_811.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_628.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_174.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_796.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_552.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_374.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_15.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_745.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_255.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_774.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_164.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_337.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_232.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_198.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_588.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_449.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_306.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_553.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_52.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_984.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_23.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_86.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_484.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_301.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_309.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_510.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_136.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_862.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_172.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_766.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_134.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_808.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_546.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_409.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_355.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_379.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_131.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_662.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_914.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_613.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_20.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_740.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_254.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_624.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_511.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_681.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_419.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_479.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_39.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_759.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_462.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_518.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_856.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_167.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_533.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_749.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_167.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_303.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_979.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_741.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_59.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_786.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_546.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_709.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_303.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_6.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_442.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_824.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_783.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_788.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_267.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_55.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_802.png,5
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_490.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_316.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_600.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_587.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_887.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_781.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_506.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_585.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_845.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_585.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_57.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_869.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_73.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_906.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_364.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_139.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_821.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_143.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_1000.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_339.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_364.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_225.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_715.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_839.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_889.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_786.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_283.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_229.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_854.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_686.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_615.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_246.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_170.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_85.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_946.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_262.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_249.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_50.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_659.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_555.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_214.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_995.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_253.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_169.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_747.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_545.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_74.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_85.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_843.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_14.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_543.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_989.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_701.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_3.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/airplane/truck_356.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_329.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_412.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_781.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_855.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_775.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_431.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_930.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_98.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_868.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_99.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_349.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_968.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_574.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_782.png,5
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_267.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_310.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_308.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_124.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_520.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_147.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_796.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_736.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_331.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_140.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_813.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_398.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_24.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_970.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_123.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_842.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_445.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_383.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_142.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_736.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_727.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_920.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_399.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_241.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_203.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_958.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_854.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_356.png,7
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_929.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_557.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_325.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_1000.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_369.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_170.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_458.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_130.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_76.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_924.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_858.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_499.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_427.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_413.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_525.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_637.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/frog/truck_165.png,6
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_265.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_844.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_373.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_631.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_955.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_861.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_94.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/truck/truck_1.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_454.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_950.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_939.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_826.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_106.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_883.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_629.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_965.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_678.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_138.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_637.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_550.png,9
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_817.png,0
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_641.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/deer/truck_587.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_919.png,8
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/ship/truck_308.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_96.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_567.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/dog/truck_717.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_459.png,4
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/bird/truck_98.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_759.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/horse/truck_873.png,2
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/cat/truck_702.png,1
/Users/srirammandalika/Downloads/Minor/synthetic_training/GR Samples/car/truck_252.png,1
